"b100743626","917.471 L178","Lain's New York and Brooklyn elite directory and ladies' visiting and shopping guide :","907586260",,,
"b100745441","B B414 Gr","The life of Henry Ward Beecher. :","906824734","37008472",,
"b100745507","929.3747 L","List of inhabitants of colonial New York /","791332299","79052062",,
"b100746111","974.723 L","List of memorials, monuments-tablets, statues & works of art on park property in the borough of Brooklyn, together with descriptive and historical sketches relating to each /","821096066",,,
"b100748016","595.7 L58","A list of the insects of New York :","834232112",,,
"b100749513","656 L41","Law papers and documents relating to the management of the Old, or Fulton ferry.","896865422",,,
"b10075143x","020.5 L","The Library quarterly.","ocm01755858 //r852","32012448",,"0024-2519"
"b10075353x","917.4723 L","Lain's street directory and buyer's guide.","871242803",,,
"b100761884","B I476 L","A life well lived ;","906635529",,,
"b100770472","912 H993 M","Miniature atlas of the borough of Brooklyn.","823679901",,,
"b100770861","388.4 B871 M","Minutes and proceedings of the Commissioners of Rapid Transit.","941156451",,,
"b100771579","708.14723 M","Momenta art :","ocm46663786",,"0967886805",
"b100778732","720.922 M","Master builders :","851540419","85016982","0891331115 :",
"b100790094","580 B874","Memoirs /","ocm01537440","sn 77020763",,
"b10080309x","380 M","Made in Brooklyn :","906276541",,,
"b10080598x","385 M","Minutes /","ocm40493450",,,
"b100815005","711 N56 M","Monuments, memorials, historic buildings :","896720666",,,
"b100819084","917.471 M","Miller's New York as it is, or, Stranger's guide-book to the cities of New York, Brooklyn, and adjacent places ...","931205822",,,
"b100819461","B M'CLELLAN M","Memories of a consecrated life; or, A memorial sketch of Kate M'Clellan.","ocm24198044",,,
"b100822009","B B414","Memorial of Henry Ward Beecher.","906855602",,,
"b100823324","352 W72 M","Message of Mayor ...to the Common Councilof the City of Williamsburgh, during the year ...","ocm35194535",,,
"b100825916","379 B87 AM","Manual of the Board of Education of the city of Brooklyn.","ocm32440936",,,
"b100826064","352.2 M","Manual of the Brooklyn Police Department, together with rules and regulations governing the force.","ocm44121867",,,
"b100826374","285 B87 FM","Manual of the First Presbyterian Church, Brooklyn, New York :","ocm22353024",,,
"b100827330","711.409 M","Minutes of the Park Board of the Department of Parks of the City of New York.","ocm36151829",,,
"b100827354","285 B87Pm","Manual of the Plymouth Church, Brooklyn, N.Y.","ocm22503564",,,
"b100827524","269 B872 M","Memorial of the revival in Plymouth Church, Brooklyn, [Rev. Henry Ward Beecher] :","906591791",,,
"b100830481","352 B87 Co","Manual prepared for the use of the Brooklyn Common Council /","ocm32185880",,,
"b100838054","331.83 N56 MC","Mayor's Special Committee on the fire at 1101 Bedford Avenue, Brooklyn, and remedies for slums.","ocm32473731",,,
"b100838066","B G763 GRA","Memorial service commemorative of the late Gen. U.S. Grant, at the Brooklyn Academy of Music : /","906626758",,,
"b100841053","610.6 M491","The Medical Society of the County of Kings ;","896176647",,,
"b100841089","B S6526","Memorial services of the late Rev. J. Hyatt Smith, pastor of the East Congregational Church, Brooklyn, N.Y.","897007297",,,
"b100847109","B C186","Memorial to Stephen H. Camp, minister of Unity Church, 1869-1897, Brooklyn, N.Y.","906808742",,,
"b100847535","388 N56 B","Memorandum to the Transit Committee, Board of Estimate amd Apportionment /","ocm34273765",,,
"b100862354","380.06 B","New Brooklyn.","840034007","sn 78002127",,"0160-2217"
"b100864636","974.71041 N","Nineteenth-century New York in rare photographic views /","821027566","80071005","0486241378 (pbk.) :",
"b100865070","352.9418 N","A neighborhood conservation program for Park Slope, Brooklyn /","ocm37622457",,,
"b100873522","363.58 N","North Gowanus infill housing study /","ocm43290886",,,
"b100875440","614 N","Neighborhood health.","ocm30614020",,,
"b100877588","304.87471 N","New immigrants in New York /","871534838","87006545","0231061307",
"b100877904","325 N","Norwegians in New York, 1825-2000 :","ocm44486797",,,
"b100881294","664.9 N","New Meat Center at Brooklyn Terminal Market :","ocm43319756",,,
"b100883540","325.7471 N","The Newest New Yorkers :","923329886",,,
"b100883989","974.723 N","The neighborhoods of Brooklyn /","ocm39615264","98036713","0300077521 (alk. paper)",
"b100885664","285 B87 N2","A narrative of the difficulties in the First Presbyterian Church of Brooklyn, N. Y. in the years 1838, 1839, & 1840.","906608166",,,
"b100887740","359.74 N","Navy public meeting :","ocm44580702",,,
"b100888926","647.95747 N","NYC restaurants and gourmet shops /","ocm34618238","96020160","1881066207",
"b100888951","307.34 N","Neighborhood revitalization and religious institutions.","791450376",,,
"b100897642","B B414 NO","Nonconformity upon the Ward Beecher case, and the protests against the memorial to him from the London Congregational ministers.","906904962",,,
"b100898646","790.2 N","Next wave festival, 1987 /","931224860",,,
"b100899857","338.272 N","New York & Brooklyn Coal Company.","ocm22367476",,,
"b100899869","917.471 N","New York and Brooklyn directory, 1786-1796.","ocm06178499",,,
"b100899870","917.471 N","New York, a city of neighborhoods /","841470735",,"0961380802",
"b100900008","352 N56","New York advancing :","ocm01617811","36019385",,
"b10090001x","352.07471 R","New York advancing :","931150293","39019378",,
"b100900057","917.471 B42 N","New-York as it is :","ocm06166805","12024133",,
"b100900161","352.57471 N","New York and the future.","ocm00607471",,,
"b100900604","307.1 N","New York City comprehensive waterfront plan :","923321979",,,
"b100901542","929 N56 G","The New York genealogical and biographical record.","ocm01760071","05037675",,"0028-7237"
"b100901669","974.702 N","New York historical manuscripts, Dutch :","ocm00873768","73014890",,
"b100901700","929.50974 N","New York is a rubber's paradise :","ocm40907919","97068304","0930194543 :",
"b100901748","917.471 N566","New York illustrated.","907228123",,,
"b100902467","974.71 N","New York :","ocm41315370","99023569","0679454829 (alk. paper) :";"0375710329 (pbk) :",
"b100902686","974.7002 N","New York photographs, 1850-1950 /","821399931","82071495","0943276004",
"b100902704","917.47 N","New York panorama :","841397638","84042701","0394541472 :";"0394727312 (pbk.) :",
"b100903721","917.472 N562","The New York suburbs.","871058270","59002848",,
"b100903733","625.42 N","The New York subway :","921351540","90085874","0823213196 :",
"b100904634","307.14 N","The New York waterfront :","ocm36159238","96053253","1885254547 (pbk.) :",
"b100907970","917.4723 Y","Old Brooklyn in early photographs, 1865-1929 :","791330409","77077028","0486235874 :",
"b100909309","741.683 O","Old Brooklyn photo postcards :","ocm37601914",,"048624489X",
"b100909371","378.154 A","Adlib.","896843426",,,
"b100910798","974.72 N56","Opening ceremonies of the New York and Brooklyn Bridge, May 24, 1883.","710568520","06043811",,
"b100911742","071 B","Office directory, Brooklyn Daily Eagle establishment.","ocm34242281",,,
"b100912692","379 N562 E","Official directory of the Board of Education, City of New York.","831672438",,,
"b100914652","974.702 O","Old First Dutch Reformed Church of Brooklyn, New York :","862016726","84227404","0806310499",
"b100914895","974.723 O44","Old Flatbush.","871309487",,,
"b100916740","282.747 T113","One hundredth anniversary, Roman Catholic Diocese of Brooklyn, 1853-1953.","907368838",,,
"b100916776","373.09747 O","One hundred and twenty-fifth anniversary celebration :","ocm39860896",,,
"b100916946","628.3 O","Outer Harbor CSO Facility Planning Project :","ocm34272652",,,
"b10091696x","628.3 O","Outer Harbor CSO Facility Planning Project draft report /","ocm34272514",,,
"b100916971","628.3 O","Outer Harbor CSO Facility Planning Project :","ocm34272449",,,
"b100916983","628.3 O","Outer Harbor CSO Facility Planning Project :","ocm34272008",,,
"b100920093","974.723 O","Old Long Island /","823424279",,,
"b100920524","282.747 B","Our Lady of Perpetual Help, Brooklyn, N.Y.","ocm19228172",,,
"b100923811","363.69 O","The origins of New York's historic districting /","ocm47671843",,,
"b100925777","974.7 O","Ordinary people, extraordinary lives :","ocm31417822",,,
"b10093187x","974.7 O","The old town of Bushwick.","ocm43272312",,,
"b100937615","974.723 P21","Papers and documents relating to the separation of the Rev. G.W. Bethune from the Reformed Protestant Dutch Church on the Heights, Brooklyn :","871323336",,,
"b100940468","920 P","Program and official directory of who's who in East New York :","ocm33353569",,,
"b100941643","282.74723 P","Priests and parishes of the Diocese of Brooklyn, 1820-1990 /","ocm22240237","90181666",,
"b100941953","317 B","Progress and prosperity :","ocm32463582",,,
"b100945016","267 B87 H","Proceedings at the ... anniversary meeting /","ocm22160049",,,
"b100946847","917.47 P","The Phoenix brownstone guide.  1980/81-.","811546831",,,
"b100950346","280 C56","Protestant church directory of metropolitan New York including Nassau and Westchester counties /","ocm07799814","sn 77020829",,
"b100950899","268 P73","Plymouth chimes.","ocm35833050",,,
"b100951181","261.8 P967 P","Protestant community in Flatbush, Brooklyn.","ocm32150423",,,
"b100956683","352.7 N56C2","Parkways, expressways, arterial highways /","ocm29708320",,,
"b100963328","352.96 P","A proposal for the Brooklyn Army Terminal :","ocm43275008",,,
"b100966330","355.7 P","Pocket guide to N.Y.P.E. /","ocm45367430",,,
"b100968569","974.723 B872 P","The pictorial history of Brooklyn :","871347083","20022585",,
"b10098082x","025.84 P","Preservation microfilming :","ocm32591237","95004741","0838906532 (alk. paper)",
"b100983108","917.471 H 64","Pictorial New York and Brooklyn :","ocm07912163",,,
"b100985130","796.357 P","Players of Cooperstown :","923325218","92080274","1561732303",
"b100985300","223 B58 Pd","The Psalms of David /","834366519",,,
"b100987849","025.84 P","Preservation of library & archival materials :","ocm36251146",,"0963468510 (acid-free paper) :",
"b100989822","025.84 P","Preservation of paper and textiles of historic and artistic value /","780032478","77013137",,
"b10099068x","388.4 R 872 P","Pictures of rolling stock, Brooklyn Rapid Transit Company.","ocm34646118",,,
"b100990691","283 P","The Portfolio :","ocm35810934",,,
"b100991798","362.61 P","Profiles of two adult homes and their communities :","841120037",,,
"b100992468","973.3 P95","Program of the dedicatory ceremonies of the Prison Ship Martyrs' Monument :","ocm34408902",,,
"b100993874","779.9909 P","Pictures of the Times :","ocm35580897","96076115","0870701169 (pbk.) :";"0870701150 (cloth : Thames & Hudson)";"0810961679 (cloth : Abrams)",
"b100995093","917.4723 P","Prospect Park, 1866-1966.","871256371",,,
"b100998756","741.683 P","Picture postcards of old Brooklyn :","831579341","82018296","048624489X",
"b100999980","974.723 P","Prospect Park South, a history /","ocm38429990",,,
"b101001320","361.76 P","Papers read at the Charity Conference, under the auspices of the Brooklyn Bureau of Charities, Thursday, March 31st, in the lecture room of the Long Island Historical Society building.","ocm38156163",,,
"b101004473","974.723 P","Preliminary report of the work eliminating grade crossings .. /","ocm31941692",,,
"b101008090","283 B87 Tp","A Plain statement of matters affecting the interests of St. Thomas' Church.","ocm32903143",,,
"b101023686","798 R","The Riding and Driving Club of Brooklyn-New York City, New York.","ocm35809965",,,
"b101031233","362.732 R","Review covering forty-five years of work of Brooklyn Howard Colored Orphan Asylum.","841245714",,,
"b101034258","720.288 R","Restoration directory /","ocm15711460",,,
"b101034970","917.472 B87 R","Reynold's directory of the city of Williamsburgh, and business advertiser.","871090901",,,
"b101039578","790.068 R","Recreation facilities for Brooklyn /","ocm37621691",,,
"b101044021","974.723 R","Red Hook, Gowanus neighborhood history guide.","ocm46240047",,,
"b101044872","352.96 R","Red Hook redevelopment plan and program /","ocm29285671",,,
"b101051578","728.312 R","Rowhouse manual /","ocm33987781",,,
"b101053125","974.704 R","Robert Moses :","ocm18961485","88034768","1557870411 (pbk.) :";"1557870403 (hard)",
"b10105564x","343.73 N532","Report on condemnation proceedings of the City of New York.","ocm32188594",,,
"b101055845","388 N564 Tr2","Reports of decisions of the Transit Commission (New York City) of the state of New York.","ocm32440856",,,
"b101057192","656 N562 DR","Report on Jamaica Bay improvement.","ocm34833542",,,
"b101057349","917.4723 R","The realm of light and air.","ocm32848021",,,
"b101059413","309.1747 R","Report of Red Hook Community Asociation.","ocm32152714",,,
"b101059681","282.74723 R","Reminiscences of St. Augustine's Parish and it pastor /","ocm31723035",,,
"b101060555","917.4723 E57 R","Reconstruction of the Brooklyn Bridge.","871242473",,,
"b101060609","718 G816 R","Report of the Board of Trustees of the Green-wood cemetery.","ocm37611110",,,
"b101060786","352 C87 C","Report of the comptroller of the receipts and expenditures of the corporation of the city of Brooklyn, for the year ending December 31, ...","ocm32717701",,,
"b101061432","387.12 B87 CF","Report of the Law Committee on ferry rights.","ocm32417535",,,
"b101061729","362.23 R","Report of the Non-sectarian Hospital and Home for Epileptics.","ocm43325018",,,
"b101061808","627.13 R","Report on the project of uniting the great bays of Long-Island by canals, from Coney-Island to Bridgehampton.","ocm11464790",,,
"b101062060","388.4609 R","Report of the Special committee of the Assembly appointed to investigate the causes of the strike of the surface railroads in the city of Brooklyn, transmitted to the Legislature April, 1895.","ocm18006119",,,
