001,010,020$a,022$a,245$a
"ocm35924630",,,,"The children, the church and the communion :"
"ocm05017255","\\$a09008405",,,"The silver cup :"
"ocm04836509",,,,"Talks and stories about heroes and holidays :"
"ocm36273476",,,,"The church and its veterans :"
"ocm16262577","\\$a87178715",,,"Serving the U.S. Armed Forces, 1861-1986 :"
"ocm36317698",,,,"Annual sermon before the American Seamen's Friend Society :"
"ocm36487535",,,,"The new onward movement :"
"ocm26329285",,,,"Religious life in America :"
"ocm36266288",,,,"Life's looking glass :"
"ocm05697458",,,,"The cedar Christian :"
"ocm16836750",,,,"Cedar christian :"
"ocm06134402",,,,"Stirring the eagle's nest :"
"ocm03528425",,,,"Thought-hives /"
"ocm36486651",,,,"The modern pulpit :"
"ocm13733951",,,,"Lecture-room talks :"
"ocm01935169","\\$a15024990",,,"Lecture-room talks :"
"ocm07996993",,,,"Sunrise on the soul :"
"ocn173019331",,,,"Beulah land or, words of cheer for Christian pilgrims /"
"ocm22609460",,,,"Heart culture /"
"ocm04724731",,,,"Heart-life /"
"ocm08016439","\\$a27021547",,,"Pointed papers for the Christian life /"
"ocm34602911",,,,"Wayside springs from the fountain of life /"
"ocm12275132",,,,"The brook in the way /"
"ocm08663120",,,,"Light on life's highway :"
"ocm17627705",,,,"A south window :"
"ocm03012279",,,,"The reality of religion /"
"ocm36166404",,,,"Duty to the church :"
"ocm36092712",,,,"Causes of absence from public worship :"
"ocm03528403",,,,"Christianity in the home /"
"ocm35994026",,,,"Is the city of Brooklyn spiritually destitute? :"
"ocm22285220",,,,"The church of the household /"
"ocm02226530","\\$a03016910",,,"Cheerful to-days and trustful to-morrows /"
"ocm07805090",,,,"Newly enlisted :"
"ocm06156387","\\$a15018481",,,"Childhood:"
"ocm35840128",,,,"The coming man is the present child, or, Childhood :"
"ocm22154205","\\$a48032051",,,"Sermon on Christian recreation and unchristian amusement /"
"ocm36278268",,,,"Sports that kill ; Abominations of modern society /"
"ocm36266299",,,,"Temptations of summer watering-places :"
"ocm03408579",,,,"Industry and idleness :"
"ocm08255233",,,,"The vices, or, Lectures to young men /"
"ocm09339255","\\$a10017274",,,"Twelve causes of dishonesty /"
"ocm34738763",,,,"Obedience to parents :"
"ocm32149859",,,,"Protestant churches in the Brooklyn Heights :"
"ocm34873103","\\$a96204472",,,"Lecture on the Episcopal Church /"
"ocm13079784",,,,"A lecture delivered by the Rev. Thomas K. Beecher, (Congregationalist,) at Elmira, N.Y., January 9, 1870."
"ocm07429779",,,,"The work of preaching Christ :"
"ocn191256417",,,,"A charge to the clergy of the Protestant Episcopal Church in the Commonwealth of Pennsylvania :"
"ocm07794067",,,,"History of the American Episcopal Church /"
"ocm09544872",,,,"A pastoral letter to the people of his charge on certain points of Christian doctrine, worship, and manners /"
"ocm20876131",,,,"Our church's first century"
"ocm36127742",,,,"The Protestant Episcopal Church and the Church of the United States /"
"ocm37324631",,,,"Religious distribution."
"ocm33322058",,,,"Morning and evening exercises :"
"ocm04077521",,,,"The history of Christ Church Bay Ridge, Brooklyn, New York, 1853-1953 /"
"ocm38969962",,,,"Parish details :"
"ocm13499927",,,,"St. Paul's Church in the village of Flatbush :"
"ocm38501435",,,,"Data on St. Paul's Episcopal Church, Clinton & Carroll Sts., Brooklyn /"
"ocm38969861",,,,"Souvenir to commemorate the fortieth anniversary of St. Thomas's Protestant Episcopal Church ... Brooklyn, N.Y., June ninth and eleventh, nineteen hundred and twelve :"
"ocm03355555","\\$a34011514",,,"Rev. Mr. M'Ilvaine in answer to the Rev. Henry U. Onderdonk, D.D."
"ocm38463923",,,,"A brief history of the Woodlawn Reformed Church 1906-1956 :"
"ocm38482785",,,,"""Spy out the land"" :"
"ocm12976821",,,,"Hell a place of future punishment,"
"ocm35906798",,,,"Stumbling blocks :"
"ocm35906626",,,,"Worldliness :"
"ocm35896634",,,,"The Sabbath and the Lord's Day :"
"ocm38472712",,,,"Sixty-fifth anniversary, 1887-1952 :"
"ocm28475245",,,,"A hidden treasure :"
"ocm38927972",,,,"Bedford Ave. Baptist Church :"
"ocm38561866",,,,"The centennial celebration :"
"ocm36209979",,,,"Centennial journal, 1881-1981 :"
"ocm18660955","\\$a39016211",,,"A century of change :"
"ocm38571839",,,,"Program :"
"ocm38905090",,,,"History of the Hanson Place Baptist Church,"
"ocm36203759",,,,"Seventy-five year's history of the First Baptist Church in Williamsburgh :"
"ocm36203865",,,,"Centennial celebration :"
"ocm38452249",,,,"The golden anniversary of the Marcy Avenue Baptist Church, 1873-1923."
"ocm17535066",,,,"Miscellaneous writings 1883-1896."
"ocm01315041","\\$a13025474",,,"The First church of Christ, Scientist, and miscellany,"
"ocm38464509",,,,"Retrospection and introspection /"
"ocm36515514",,,,"Christian Science claims :"
"ocm16766344",,,,"Proceedings of the Advisory Council of Congregational Churches and Ministers :"
"ocm08713246",,,,"Royal truths."
"ocm03077008",,,,"Royal truths."
"ocm35745671",,,,"Königliche wahrheiten /"
"ocm04732653","\\$a31018368",,,"Royal truths,"
"ocm03268450",,,,"Prayers from Plymouth pulpit."
"ocm04394545",,,,"Prayers from Plymouth pulpit /"
"ocm35184755",,,,"Prayers from Plymouth pulpit /"
"ocm36651052",,,,"Prayers from Plymouth pulpit /"
"ocm30313395",,,,"Prayers from Plymouth pulpit /"
"ocm11347622",,,,"Aids to prayer /"
"ocm34978477",,,,"His last prayer :"
"ocm34712661",,,,"A book of prayer :"
"ocm04086145",,,,"A book of prayer :"
"ocm11485417",,,,"A book of public prayer /"
"ocm36651172",,,,"Prayers from Plymouth pulpit /"
"ocm22634953",,,,"Letter-missive."
"ocm35050415",,,,"Aids to prayer."
"ocm03147039",,,,"An address on Congregationalism :"
"ocm26283893",,,,"The life that really is /"
"ocm35844158",,,,"The Roman Catholic question /"
"ocm01033314",,,,"The life that really is."
"ocm01033359","\\$a33001566",,,"Signs of promise."
"ocm34163075",,,,"Sermon :"
"ocm04443440",,,,"Proverbs from Plymouth pulpit /"
"ocm08095509",,,,"Henry Ward Beecher's last sermons :"
"ocm32367366",,,,"The duty of using one's life for others, Sunday morning, September 20, 1868."
"ocm35746548",,,,"""Faith"" :"
"ocm34906545",,,,"Freedom and war :"
"ocm12817121","\\$a96183009",,,"The heavenly state and future punishment, two sermons /"
"ocm36513509",,,,"Heroism in suffering :"
"ocm36513530",,,,"Heroism in suffering :"
"ocm22353050",,,,"The hidden manna and the white stone :"
"ocm36598647",,,,"Jew and Gentile :"
"ocm34978689",,,,"""I am resolved what to do"" :"
"ocm36516487",,,,"Life thoughts :"
"on1136536358",,,,"Life thoughts:"
"ocm35848090",,,,"Lebensgedanken /"
"ocm34948966",,,,"Life thoughts /"
"ocm01410250",,,,"Notes from Plymouth pulpit :"
"ocm10561453",,,,"Notes from Plymouth pulpit :"
"ocn425958648",,,,"Notes from Plymouth pulpit :"
"ocm38571825",,,,"Notes from Plymouth pulpit :"
"ocm06082858",,,,"Christian union, and the Protestand Episcopl Church in its relations to church unity /"
"ocm04284802","\\$a45034001",,,"The church universal :"
"ocm35845513",,,,"Ninevah threatened :"
"ocm35849834",,,,"The Pope's Bull and Anglican orders :"
"ocm35849912",,,,"""Morality and religion"" :"
"ocm00456454","\\$a12025374",,,"The master of repartee :"
"ocm35894731",,,,"Religious education :"
"ocm35900809",,,,"Christian charity :"
"ocm36631116",,,,"The true teachings of the Bible :"
"ocm16763700","\\$a46032570",,,"Sermons in Plymouth Church, Brooklyn,"
"ocm36517151",,,,"Soul-relationship."
"ocm04078823",,,,"A summer parish :"
"ocm27354426",,,,"A sermon :"
"ocm33394880",,,,"The whole world in pain :"
"ocm26019429",,,,"The Christian law of neighborhood"
"ocm22461488",,,,"Ember days :"
"ocm04347696","\\$a04015371",,,"The Christ of nineteen centuries,"
"ocm35847544",,,,"Christ triumphant :"
"ocm34536436",,,,"A New Year's offering :"
"ocm35844810",,,,"Christ's dominion on the sea :"
"ocm35847672",,,,"God's love first :"
"ocm35847858",,,,"The incarnate Christ :"
"ocm77995962",,,,"The beauty of holiness:"
"ocm24873448",,,,"Sacrifice"
"ocm35837960",,,,"Truth tested by time :"
"ocm19640318",,,,"A sermon preached at St. Ann's Church, Brooklyn, Good Friday, April 10, 1846 /"
"ocm35995031",,,,"Gratitude to God :"
"ocm01577547",,,,"The commission of a recovered life :"
"ocm04626849","\\$a12008881",,,"The religious uses of memory"
"ocm36031863",,,,"An endless alleluia."
"ocm36031094",,,,"Faith :"
"ocm32959558",,,,"The destruction of the war system essential to the world's conversion :"
"ocm12798052",,,,"The Atlantic telegraph :"
"ocm19640064",,,,"Honest trades :"
"ocm15176248","\\$a06046083",,,"A discourse delivered before the Society for the prevention of Pauperism :"
"ocm12713449",,,,"The elements of a vigorous & useful character :"
"ocm22304653",,,,"Members one of another :"
"ocm35950941",,,,"The great evil in New York and Brooklyn :"
"ocm32177142",,,,"Privileges not to be made an exuse from duty :"
"ocm01016687",,,,"The missionary work essential to the development and growth of the Christian church."
"ocm36031351",,,,"A sermon preached at the opening of the eighty-first convention of the Diocese of Maryland in Grace Church, Baltimore, May 25, 1864 /"
"ocm02784269",,,,"The evangelistic note /"
"ocm36173362",,,,"The slothful man as seen in the Book of Proverbs :"
"ocm35814044",,,,"The mission of the church :"
"ocm32177213",,,,"Sons of God :"
"ocm35813893",,,,"The prayer of Socrates and Paul's injunction :"
"ocm38491134",,,,"A sermon, preached in St. George's Church, in Hempstead, on the 24th June, 1801 :"
"ocm34347553",,,,"A suggestion about fasting :"
"ocm03416225","\\$a13000821",,,"All the year round"
"ocm36161112",,,,"The automatic judgment seat in man :"
"ocm26197440",,,,"The witness of the spirit:"
"ocm36161251",,,,"Christian idea of the Christian life :"
"ocm19591744",,,,"Some upgathered fragments from the sermons of James Percival Huget."
"ocm36030611",,,,"Coming on too strong :"
"ocm36024486",,,,"Friendship's forelaid fires /"
"ocm36160803",,,,"""Ain't it nice?"" /"
"ocm27297774",,,,"Evangelization"
"ocm36144293",,,,"""I want to be gooder"" /"
"ocm36144264",,,,"The Japanese student :"
"ocm36160715",,,,"""Let me see that,"" or, A rationalist in the inquiry room /"
"ocm14164241",,,,"The reasonableness of Christianity:"
"ocm36093438",,,,"A sermon preached All Saints' Day, November 1st, 1903 :"
"ocm36144328",,,,"The two sisters :"
"ocm36141191",,,,"Death in youth /"
"ocm36141076",,,,"Our duty /"
"ocm34130860",,,,"A quarter of a century :"
"ocm36141107",,,,"The Plymouth Sunday evening lectures /"
"ocm36141022",,,,"Thoughts on death and immortality :"
"ocm22756230",,,,"Difference between the Church and dissent :"
"ocm01896873","\\$a18000025",,,"When God was near"
"ocn752788872","\\$a24019045",,,"A charge, delivered at Smithtown, October 23, 1817, to the united congregations, of Smithtown and Fresh-pond,"
"ocn702556910",,,,"Sermon preached in St. John's Church, Brooklyn, New York, on Thanksgiving Day, Thursday, Nov. 25, 1847."
"ocm21925218",,,,"Answer to the call of the Central Church."
"ocm36238905",,,,"Contrasts in the work of missions :"
"ocm36310098",,,,"The assembly of Christians the Temple of God /"
"ocm36026102",,,,"Parish endowment :"
"ocm36310606",,,,"The Bible :"
"ocm12816998",,,,"Two sermons preached in the Church of the Pilgrims, Brooklyn, New York, November 18, 1866 :"
"ocm04951929","\\$a25003520",,,"Terrors of the pestilence :"
"ocm22302721",,,,"The Gospel of optimism, and other sermons /"
"ocm09925338",,,,"Considerations addressed to the laity of the Protestant Episcopal Church :"
"ocm36030389",,,,"Sermons /"
"ocm17220527",,,,"Certainty concerning Christ, as the Divine Lord :"
"ocm36309924",,,,"The law of growth in the Kingdom of God /"
"ocm36310742",,,,"Lessons taught by sudden casualty :"
"ocm36311154",,,,"Sermon /"
"ocm36231651",,,,"The Bond Street pulpit :"
"ocm26157761",,,,"The nature of dogma and its obligation /"
"ocn480418566","\\$a02005812",,,"Manasseh and United States:"
"ocm34571224",,,,"Against the ministers of the New York and Brooklyn Ministerial Association /"
"ocm38374439",,,,"Central Congregational Church, Brooklyn, New York City "
"ocm12009609",,,,"The neccesity, uses &c. of a church literature :"
"ocm38532025",,,,"Centennial banquet of the Congregation Baith Israel Anshei Emes."
"ocm38532014",,,,"Holy Name of Jesus Church."
"ocm36094125",,,,"Selected sermons of Reverend Lea Luquer, M.A., S.T.D. :"
"ocm36107483",,,,"The house of prayer :"
"ocm24820496",,,,"Man saved by mercy :"
"ocm05266107",,,,"Memorial of the revival in Plymouth Church, Brooklyn, [Rev. Henry Ward Beecher] :"
"ocm17390104",,,,"A sermon on forms of prayer :"
"ocm24881192",,,,"The great theme :"
"ocm22478368",,,,"Twenty-fifth anniversary of the Rev. Albert J. Lyman, D.D. as pastor of the South Congregational Church, Brooklyn, New York, 1874-1899, Thursday evening, January the twelfth, eighteen hundred and ninety-nine."
"ocm38531201",,,,"Fifty and seventy-five years of service :"
"ocm23880668","\\$a19016101",,,"The Broadway Tabernacle Church, 1901-1915"
"ocm34629474","\\$a96179095",,,"The modern manifestations of superstition and skepticism :"
"ocm07479029","\\$a01019635",,,"The history of the Broadway tabernacle church, from its organization in 1840 to the close of 1900, including factors influencing its formation; by Susan Hayes Ward."
"ocm38880309",,,,"Quaker biographies :"
"ocm04566769",,,,"Biographical sketches and anecdotes of members of the religious society of Friends."
"ocm36128567",,,,"The free church idea :"
"ocm02752969","\\$a07032951",,,"Mary Dyer of Rhode Island :"
"ocm22394427","\\$a92839268",,,"Sermon delivered at the opening of the Primary convention in the Church of the Holy Trinity, Brooklyn, N.Y. November 18th, 1868 /"
"ocm13105844",,,,"The church's opportunity in the city to-day :"
"ocm36131186",,,,"Impressions of travel :"
"ocm36131165",,,,"A zealous ministry :"
"ocm36131227",,,,"""Liberty enlightening the world"" :"
"ocm25505704",,,,"Peril and privilege :"
"ocm11883443","\\$a2002554006",,,"Sermons /"
"ocm19025631",,,,"God's call and faith's obedience :"
"ocm34631291",,,,"The sheaf in the temple :"
"ocm19328774",,,,"Testimonies to the supernatural /"
"ocm08135224",,,,"The spiritual house :"
"on1031866351",,,,"Baccalaureate sermon to the graduating class of Columbia College Law School :"
"ocn191315804",,,,"The church, her Lord's almoner to the world :"
"ocm22483973",,,,"A remembrance of the former days :"
"ocm36276935",,,,"A Thanksgiving sermon preached in Emmanuel Church, Brooklyn, on Thursday, Dec. 4, 1845 :"
"ocm12798957",,,,"It grows, he knoweth not how :"
"ocm29620083",,,,"The form of sound words :"
"ocm19640156",,,,"Liturgical worship:"
"ocn654238481",,,,"The whole book of Psalms, in metre :"
"ocm38880486",,,,"The book of common prayer, and administration of the sacraments and other rites and ceremonies of the Church :"
"ocm19640485",,,,"The cathedral system in the American church :"
"ocm26039134",,,,"The people's blessing of the ministry :"
"ocm25764525",,,,"More laborers needed :"
"ocm07567052",,,,"The ministry, its value and dignity :"
"ocm14903622",,,,"The position of the laity in the Protestant Episcopal Church in the United States /"
"ocm34991445",,,,"One hundred years of Christian service, 1841-1941."
"ocm38578225",,,,"The first forty years February 13, 1898-February 13, 1939 of the English Evangelical Lutheran Church of the Reformation, Barbey Street near Jamaica Avenue, Brooklyn, New York /"
"ocn785871653",,,,"Den Danske kirke og Episkopalkirken :"
"ocm10841111",,,,"Hundert Jahre Deutsche Evangelisch-Lutherische Zions-Germeinde in Brooklyn in Wort und Bild /"
"ocm38912696",,,,"1887-1962, the diamond jubilee of Zion Lutheran Church of Flatbush - Brooklyn, New York :"
"ocm34274092",,,,"Sermon preached by request before the Society of Old Brooklynites /"
"ocm35894957",,,,"The sigh and faith of our common humanity :"
"ocm08181774",,,,"Lectures and addresses /"
"ocm36128695",,,,"Sermon preached in the Hanson Place Methodist Episcopal Church, Brooklyn, N.Y., Thanksgiving Day, November 24th, 1892 :"
"ocm04453976",,,,"Pulpit and platform :"
"ocm36166937",,,,"An address delivered by the Rev. C.C. Leigh before the Thirty-sixth Annual Meeting of the National Association of Local Preachers, in the Methodist Episcopal Church in the city of Washington, D.C. :"
